T,sigma,kappa,Seebeck
300,5.90E+05,8.28852459,9.35E-05
350.1440922,5.06E+05,7.619672131,1.05E-04
398.5590778,4.35E+05,6.990163934,1.15E-04
450.4322767,3.75E+05,6.518032787,1.27E-04
500.5763689,3.22E+05,6.163934426,1.38E-04
550.7204611,2.80E+05,5.88852459,1.48E-04
599.1354467,2.46E+05,5.573770492,1.59E-04
645.8213256,2.16E+05,5.37704918,1.69E-04
699.4236311,1.91E+05,5.140983607,1.79E-04
747.8386167,1.69E+05,4.983606557,1.87E-04
797.9827089,1.53E+05,4.826229508,1.95E-04
848.1268012,1.40E+05,4.708196721,2.03E-04
901.7291066,127051.6717,4.550819672,2.09E-04
944.9567723,116109.4225,4.472131148,2.17E-04
1000.288184,108814.5897,4.393442623,2.23E-04
1045.244957,99696.04863,4.275409836,2.28E-04
1100.576369,94224.92401,4.236065574,2.35E-04
1147.262248,86930.09119,4.196721311,2.41E-04
1197.40634,83282.67477,4.196721311,2.46E-04
