Hot-side Temperature Th (K),Max Power (W),Max Efficiency (%)
313.15,0.0010198512842981037,1.5119934958608863
333.15,0.0039435256661548325,2.6323272216357543
353.15,0.00845149954814284,3.7195091497876156
373.15,0.014263348828050346,4.720825450028759
393.15,0.021110008344468703,5.612014304823472
413.15,0.028712882978844674,6.379834741687497
433.15,0.036788977592549614,7.020304209643219
453.15,0.04506949504597753,7.536057937613399
473.15,0.053321345474705045,7.933669940753824
493.15,0.061362343315121276,8.221488596539642
513.15,0.06906675916067871,8.40860806285476
533.15,0.07636270186567558,8.504085641031548
553.15,0.08322413832092196,8.517066619899785
573.15,0.08965894860690399,8.456737626010117
